,Unnamed: 0,date,high,low,open,close,20_MA,50_MA,entry_qaulity,candle_pattern_check,candle_pattern_score,bb_check,bb_score,trend_0,trend_1,trend_score,grad_0,grad_1,grad_score,RSI,RSI_score
3219,3219,2021-06-22 18:08:00,1907.2,1903.1,1906.40465432,1903.7,1906.473514146,1905.8564489402,,,,,,,,,,,,,
3220,3220,2021-06-22 18:09:00,1905.3,1902.15936773,1905.3,1903.56055168,1906.86654173,1906.0476599738,,,,,,,,,,,,,
3221,3221,2021-06-22 18:10:00,1903.42116817,1900.1,1903.1,1900.1,1906.75154173,1906.1811903122,,,,,,,,,,,,,
3222,3222,2021-06-22 18:11:00,1905.5917271,1899.26895984,1899.53993558,1904.7,1906.82654173,1906.3291903122,,,,,,,,,,,,,
3223,3223,2021-06-22 18:12:00,1908.5,1905.9,1905.9,1907.1,1906.966541729999,1906.4571903122,,,,,,,,,,,,,
3224,3224,2021-06-22 18:13:00,1906.7,1905.6,1906.68948599,1905.6,1906.8015417299985,1906.4791903122,,,,,,,,,,,,,
3225,3225,2021-06-22 18:14:00,1906.3,1904.1,1906.3,1904.1,1906.0765417299983,1906.5131903122,,,,,,,,,,,,,
3226,3226,2021-06-22 18:15:00,1908.31573744,1902.4,1904.3,1908.3,1905.6823173429984,1906.6471903122,,,,,,,,,,,,,
3227,3227,2021-06-22 18:16:00,1920.0,1907.6,1907.6,1914.18831215,1905.9317329504984,1906.8149565552003,,,,,,,,,,,,,
3228,3228,2021-06-22 18:17:00,1915.7242163,1910.57442002,1914.1,1911.1,1906.1247297059983,1906.8989565552008,,,,,,,,,,,,,
3229,3229,2021-06-22 18:18:00,1920.8,1911.4,1911.4,1913.3,1906.1340964184988,1907.1369565552009,,,,,,,,,,,,,
3230,3230,2021-06-22 18:19:00,1913.1,1909.4,1913.1,1910.8,1906.1340964184988,1907.1849565552009,,,,,,,,,,,,,
3231,3231,2021-06-22 18:20:00,1912.9234499,1909.4,1912.9,1910.6,1906.4040964184987,1907.1569565552008,,,,,,,,,,,,,
3232,3232,2021-06-22 18:21:00,1913.0,1908.31573744,1910.0,1913.0,1906.519096418499,1907.060956555201,,,,,,,,,,,,,
3233,3233,2021-06-22 18:22:00,1910.1,1905.0,1910.1,1906.00455036,1906.589416466999,1906.943047562401,,,,,,,,,,,,,
3234,3234,2021-06-22 18:23:00,1906.0,1903.3,1906.0,1904.4,1906.5795089974988,1906.871047562401,,,,,,,,,,,,,
3235,3235,2021-06-22 18:24:00,1909.0,1904.1,1904.1,1908.2,1906.8095089974988,1906.8950475624008,,,,,,,,,,,,,
3236,3236,2021-06-22 18:25:00,1916.5,1909.0,1909.0,1912.1,1907.3195089974984,1906.8590475624007,,,,,,,,,,,,,
3237,3237,2021-06-22 18:26:00,1915.9,1914.2,1914.2,1915.76179032,1908.0357602254985,1906.884390512001,,,,,,,,,,,,,
3238,3238,2021-06-22 18:27:00,1916.4,1911.5,1914.3,1916.4,1908.6507602255,1906.928390512001,,,,,,,,,,,,,
3239,3239,2021-06-22 18:28:00,1918.9,1916.3,1916.57489365,1916.9,1909.3107602255,1907.028390512001,,,,,,,,,,,,,
3240,3240,2021-06-22 18:29:00,1917.1,1914.1,1916.1,1917.1,1909.9877326415,1907.2083905120007,,,,,,,,,,,,,
3241,3241,2021-06-22 18:30:00,1918.8,1910.0,1916.2,1918.8,1910.9227326415,1907.4923905120008,,,,,,,,,,,,,
3242,3242,2021-06-22 18:31:00,1932.4,1918.0,1918.0,1926.6,1912.0177326415,1907.864390512001,,,,,,,,,,,,,
3243,3243,2021-06-22 18:32:00,1932.9,1928.9,1928.9,1930.89269184,1913.2073672335,1908.3442443488009,,,,,,,,,,,,,
3244,3244,2021-06-22 18:33:00,1943.3,1932.67629344,1932.67629344,1939.7,1914.9123672335008,1909.110244348801,,,,,,,,,,,,,
3245,3245,2021-06-22 18:34:00,1943.9,1938.1,1940.5,1940.9,1916.7523672335003,1909.8982000840008,,,,,,,,,,,,,
3246,3246,2021-06-22 18:35:00,1939.11540862,1932.2,1939.11540862,1934.1,1918.0423672335,1910.5355635854005,,,,,,,,,,,,,
3247,3247,2021-06-22 18:36:00,1933.8,1929.7,1933.8,1930.16981564,1918.841442408,1911.0589598982003,,,,,,,,,,,,,
3248,3248,2021-06-22 18:37:00,1933.9,1929.1,1929.9,1930.80233231,1919.8265590235,1911.6410065444004,,,,,,,,,,,,,
3249,3249,2021-06-22 18:38:00,1950.0,1933.9,1933.9,1947.1,1921.5165590235,1912.6370065444005,,,,,,,,,,,,,
3250,3250,2021-06-22 18:39:00,1947.1,1942.82014915,1947.1,1944.98877775,1923.225997911,1913.6227820994,,,,,,,,,,,,,
